"",Title,Year,Released,Runtime,Genre,Director,Ratings,imdbRating
1,Code Name: K.O.Z.,2015,13 Feb 2015,114 min,"Crime, Mystery",Celal Çimen,1.6/10,1.6
2,Saving Christmas,2014,14 Nov 2014,80 min,"Comedy, Family",Darren Doane,1.6/10,1.6
3,Superbabies: Baby Geniuses 2,2004,27 Aug 2004,88 min,"Comedy, Family, Sci-Fi",Bob Clark,2.0/10,2.0
4,Daniel der Zauberer,2004,12 Aug 2004,81 min,"Comedy, Crime, Fantasy",Ulli Lommel,1.9/10,1.9
5,Manos: The Hands of Fate,1966,15 Nov 1966,70 min,Horror,Harold P. Warren,1.9/10,1.9
6,Pledge This!,2006,N/A,91 min,Comedy,"William Heins, Strathford Hamilton",1.9/10,1.9
7,Turks in Space,2006,15 Dec 2006,110 min,"Action, Comedy, Sci-Fi",Kartal Tibet,1.9/10,1.9
8,Foodfight!,2012,12 Feb 2013,91 min,"Animation, Action, Comedy",Lawrence Kasanoff,1.8/10,1.8
9,Birdemic: Shock and Terror,2010,27 Feb 2010,105 min,"Horror, Romance, Thriller",James Nguyen,1.8/10,1.8
10,Dream.net,2009,16 Apr 2009,N/A,"Comedy, Romance, Sport",Gábor Forgács,2.0/10,2.0
11,Titanic: The Legend Goes On...,2000,15 Sep 2000,90 min,"Animation, Family, Fantasy",Camillo Teti,2.2/10,2.2
12,Disaster Movie,2008,29 Aug 2008,87 min,Comedy,"Jason Friedberg, Aaron Seltzer",1.9/10,1.9
13,Zombie Nation,2004,05 Oct 2004,81 min,Horror,Ulli Lommel,2.1/10,2.1
14,The Hottie & the Nottie,2008,21 Feb 2008,91 min,"Comedy, Romance",Tom Putnam,1.9/10,1.9
15,Keloglan vs. the Black Prince,2006,06 Jan 2006,105 min,Comedy,Tayfun Güneyer,1.8/10,1.8
16,From Justin to Kelly,2003,20 Jun 2003,81 min,"Comedy, Musical, Romance",Robert Iscove,2.1/10,2.1
17,A Fox's Tale,2008,N/A,85 min,"Animation, Adventure, Family","György Gát, János Uzsák",2.2/10,2.2
18,Ram Gopal Varma's Indian Flames,2007,31 Aug 2007,171 min,"Action, Adventure, Comedy",Ram Gopal Varma,1.9/10,1.9
19,Going Overboard,1989,12 May 1989,99 min,Comedy,Valerie Breiman,1.9/10,1.9
20,Yes Sir,2007,19 Jan 2007,100 min,"Action, Adventure, Comedy","Taner Akvardar, Mustafa Altioklar",1.8/10,1.8
21,Attack of the Jurassic Shark,2012,20 Apr 2012,75 min,"Action, Horror, Sci-Fi",Brett Kelly,1.5/10,1.5
22,Potato Salad,2015,23 Jul 2015,81 min,"Comedy, Horror",Michael David Pate,1.2/10,1.2
23,Ben & Arthur,2002,02 Jan 2003,85 min,"Drama, Romance, Thriller",Sam Mraovich,2.2/10,2.2
24,The Legend of the Titanic,1999,17 Apr 1999,84 min,"Animation, Family, Fantasy","Orlando Corradi, Kim J. Ok",1.9/10,1.9
25,Himmatwala,2013,29 Mar 2013,150 min,"Action, Comedy, Drama",Sajid Khan,1.8/10,1.8
26,Birdemic 2: The Resurrection,2013,16 Apr 2013,90 min,"Action, Comedy, Horror",James Nguyen,1.7/10,1.7
27,Monster a-Go Go,1965,01 Jul 1965,70 min,"Horror, Sci-Fi","Bill Rebane, Herschell Gordon Lewis",2.3/10,2.3
28,House of the Dead,2003,10 Oct 2003,90 min,"Action, Adventure, Horror",Uwe Boll,2.0/10,2.0
29,Who's Your Caddy?,2007,27 Jul 2007,93 min,"Comedy, Sport",Don Michael Paul,2.1/10,2.1
30,Humshakals,2014,20 Jun 2014,159 min,Comedy,Sajid Khan,1.8/10,1.8
31,Hobgoblins,1988,14 Jul 1988,88 min,"Comedy, Horror, Sci-Fi",Rick Sloane,2.3/10,2.3
32,Glitter,2001,21 Sep 2001,104 min,"Drama, Music, Romance",Vondie Curtis-Hall,2.2/10,2.2
33,The Beast of Yucca Flats,1961,02 May 1961,54 min,"Horror, Sci-Fi",Coleman Francis,2.4/10,2.4
34,Son of the Mask,2005,18 Feb 2005,94 min,"Comedy, Family, Fantasy",Lawrence Guterman,2.2/10,2.2
35,Crossover,2006,01 Sep 2006,95 min,"Action, Sport",Preston A. Whitmore II,2.1/10,2.1
36,Space Mutiny,1988,01 Aug 1988,91 min,"Action, Adventure, Romance","David Winters, Neal Sundstrom",2.0/10,2.0
37,Night Train to Mundo Fine,1966,01 Nov 1966,89 min,"Action, Adventure, Thriller",Coleman Francis,2.6/10,2.6
38,Extra Terrestrial Visitors,1983,13 Dec 1983,80 min,Sci-Fi,Juan Piquer Simón,2.1/10,2.1
